year,round,pick,player_name,college,nwsl_team
2023,4,44,Iliana Hocking,Arizona,NJ/NY Gotham FC
2023,4,45,Giovanna DeMarco,Wake Forest,San Diego Wave FC
2023,4,46,Natalie Viggiano,Wisconsin,OL Reign
2023,4,47,Ashley Orkus,Ole Miss,Kansas City Current
2023,4,48,Madelyn Desiano,UCLA,Houston Dash
2024,1,1,Ally Sentnor,North Carolina,Utah Royals
2024,1,2,Savy King,North Carolina,Bay FC
2024,1,3,Croix Bethune,Georgia,Washington Spirit
2024,1,4,Brecken Mozingo,BYU,Utah Royals
2024,1,5,Hal Hershfelt,Clemson,Washington Spirit
2024,1,6,Reilyn Turner,UCLA,Racing Louisville FC
2024,1,7,Kate Wiesner,Penn State,Washington Spirit
2024,1,8,Maya Doms,Stanford,Bay FC
2024,1,9,Ally Lemos,UCLA,Orlando Pride
2024,1,10,Leilanni Nesbeth,Florida State,Chicago Red Stars
2024,1,11,Payton Linnehan,Penn State,Portland Thorns FC
2024,1,12,Kennedy Wesley,Stanford,San Diego Wave FC
2024,1,13,Makenna Morris,Clemson,Washington Spirit
2024,1,14,Maycee Bell,North Carolina,NJ/NY Gotham FC
2024,2,15,Jameese Joseph,NC State,Chicago Red Stars
2024,2,16,Lauren Flynn,Florida State,Utah Royals
2024,2,17,Sam Meza,North Carolina,Seattle Reign FC
2024,2,18,Ellie Wheeler,Penn State,Kansas City Current
2024,2,19,Avery Patterson,North Carolina,Houston Dash
2024,2,20,Olivia Smith-Griffitts,BYU,Utah Royals
2024,2,21,Kiki Van Zanten,Notre Dame,Houston Dash
2024,2,22,Cori Dyke,Penn State,Orlando Pride
2024,2,23,Olivia Wade-Katoa,BYU,Portland Thorns FC
2024,2,24,Talia Staude,Virginia,North Carolina Courage
2024,2,25,Kelsey Kaufusi,Utah State,Portland Thorns FC
2024,2,26,Emma Jaskaniec,Wisconsin,Utah Royals
2024,2,27,Maddie Mercado,Notre Dame,Seattle Reign FC
2024,2,28,Emma Sears,Ohio State,Racing Louisville FC
2024,3,29,Zoe Burns,USC,Utah Royals
2024,3,30,Jamie Shepherd,BYU,Bay FC
2024,3,31,Hannah Anderson,Texas Tech,Chicago Red Stars
2024,3,32,Halle Mackiewicz,Clemson,Kansas City Current
2024,3,33,Cristina Roque,Florida State,Utah Royals
2024,3,34,Caroline Conti,Clemson,Bay FC
2024,3,35,Anna Podojil,Arkansas,Washington Spirit
2024,3,36,Amanda West,Pittsburgh,Houston Dash
2024,3,37,Felicia Knox,Alabama,Angel City FC
2024,3,38,Heather Hinz,South Carolina,Houston Dash
2024,3,39,Kat Asman,Penn State,Portland Thorns FC
2024,3,40,Julia Dorsey,North Carolina,North Carolina Courage
2024,3,41,Bea Franklin,Arkansas,Chicago Red Stars
2024,3,42,Mya Jones,Memphis,San Diego Wave FC
2024,4,43,Makena Carr,Saint Mary's,Seattle Reign FC
2024,4,44,Jessica Garziano,St. John's,Angel City FC
2024,4,45,Celia Gaynor,Michigan State,Chicago Red Stars
2024,4,46,Hope Hisey,Arizona,Kansas City Current
2024,4,47,Alyssa Bourgeois,Santa Clara,Houston Dash
2024,4,48,Sam Cary,Iowa,Racing Louisville FC
2024,4,49,Courtney Brown,Utah,Washington Spirit
2024,4,50,Alex Kerr,Texas Tech,Orlando Pride
2024,4,51,Madison Curry,Princeton,Angel City FC
2024,4,52,Landy Mertz,Pittsburgh,North Carolina Courage
2024,4,53,Katie Duong,Stanford,Portland Thorns FC
2024,4,54,Madison White,Texas Tech,Racing Louisville FC
2024,4,55,Laveni Vaka,BYU,Bay FC
2024,4,56,Talia Gabarra,UCF,Orlando Pride
